#,Type,Problem,Link,Difficulty,Code
176,Recursion,Generate Permutation,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/29_Generate_Permutation.py
177,Recursion,Count Permutation,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/30_Count_Permutation.py
178,Recursion,Letter Combination of Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/31_Letter_Combination_of_Phone_Number.py
179,Recursion,Number of Dice Rolls With Target Sum,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/32_Number_of_Dice_Rolls_With_Target_Sum.py
180,Recursion,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/33_Generate_Parentheses.py
181,Stack,Custom Stack,https://practice.geeksforgeeks.org/problems/implement-stack-using-array/1, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/6_Stack_n_Queues/1_Custom_Stack.py
182,Stack,Dynamic Stack,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/6_Stack_n_Queues/2_Dynamic_Stack.py
183,Stack,Custom Queue,https://practice.geeksforgeeks.org/problems/implement-queue-using-array/1, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/6_Stack_n_Queues/3_Custom_Queue.py
184,Stack,Circular Queue,https://www.codingninjas.com/studio/problems/circular-queue_1170058, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/6_Stack_n_Queues/4_Circular_Queue.py
185,Stack,Dynamic Circular Queue,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/6_Stack_n_Queues/5_Dynamic_Circular_Queue.py
